#chr_A	pos_A	chr_B	pos_B
chr4	132401810	chr5	113399221
chr4	132787270	chr5	113646155
chr4	132931756	chr5	113617591
chr4	133209782	chr5	138229594
chr4	133252191	chr5	112817929
chr4	133371214	chr5	112729806
chr4	133378752	chr5	144578779
chr4	133428529	chr5	112487005
chr4	133429439	chr5	138286700
chr4	133660349	chr5	73719574
chr4	133660349	chr5	73719574
chr4	133861098	chr5	73340017
chr4	133954768	chr5	101924039
chr4	134014147	chr5	73666402
chr4	134096690	chr5	73911103
chr4	134210334	chr5	103406101
chr4	134238315	chr5	74201945
chr4	134246388	chr5	74488699
chr4	134290652	chr5	100781783
chr4	134306541	chr5	73868561
chr4	134345369	chr5	74397118
chr4	134428434	chr5	74093758
chr4	134545476	chr5	73487741
chr4	134545476	chr5	73487741
chr4	134567480	chr5	74460933
chr4	134575749	chr5	73841377
chr4	134575749	chr5	73841377
chr4	134584371	chr5	74156933
chr4	134626067	chr5	117203292
chr4	134628605	chr5	74311496
chr4	134677138	chr5	74518098
chr4	134685274	chr5	73962229
chr4	134689199	chr5	74916545
chr4	134698731	chr5	101896599
chr4	134698731	chr5	101896599
chr4	134712639	chr5	102100285
chr4	134714271	chr5	102111533
chr4	134724245	chr5	74631223
chr4	134818133	chr5	74573671
chr4	134838698	chr5	102100845
chr4	134898704	chr5	74975584
chr4	134918559	chr5	75040844
chr4	134929158	chr5	66616287
chr4	134972843	chr5	66655648
chr4	134981563	chr5	67461117
chr4	135002021	chr5	66526016
chr4	135034395	chr5	75026239
chr4	135045059	chr5	74934514
chr4	135055888	chr5	74992992
chr4	135123380	chr5	66527517
chr4	135242055	chr5	115742902
chr4	135304359	chr5	75028905
chr4	135323066	chr5	117349317
chr4	135465922	chr5	117261883
chr4	135493117	chr5	117118915
chr4	135505459	chr5	117274773
chr4	135687140	chr5	117514651
chr13	97927738	chr2	167752670
chr13	97927739	chr2	167752670
chr13	97977211	chr2	167771062
chr13	98232540	chr2	167637249
chr13	98617044	chr2	167814567
chr13	98622174	chr2	167616487
chr11	98868018	chr9	59536237
chr11	99038227	chr9	59566949
chr11	99146217	chr9	59729939
chr11	99166015	chr9	59728260
chr11	99227648	chr9	59726571
chr11	99673093	chr9	60038055
chr11	99690502	chr9	60043766
chr11	99967565	chr9	58228980
chr11	107418339	chr9	114866771
chr11	107419575	chr9	114866627
chr11	107421570	chr9	115297722
chr11	108748266	chr9	115324039
chr11	109340896	chr9	115364757
chr11	109727014	chr9	94970849
chr11	110181802	chr9	115368830
chr11	110550209	chr9	115350532
chr11	110639576	chr9	115206957
chr11	110639876	chr9	94955609
chr11	110720051	chr9	95220863
chr11	110721132	chr9	94805401
chr11	110796861	chr9	95045993
chr11	110814548	chr9	95197860
chr11	110819785	chr9	94804407
chr11	111317455	chr9	115948985
chr11	111344518	chr9	95100845
chr11	111359179	chr9	115918704
chr11	111419357	chr9	95136795
chr11	111419357	chr9	95136795
chr11	111470112	chr9	115908642
chr11	111483368	chr9	115337863
chr11	111512856	chr9	115476877
chr11	111557546	chr9	106132401
chr11	111693146	chr9	117428507
chr11	112114141	chr9	115797968
chr11	112132445	chr9	116001650
chr11	112149950	chr9	94446403
chr11	112160731	chr9	116744179
chr11	112162203	chr9	116353229
chr11	112171406	chr9	115825340
chr11	112198049	chr9	116754865
chr11	112207328	chr9	116786917
chr11	112218813	chr9	116788040
chr11	112225213	chr9	95659022
chr11	112269006	chr9	116350383
chr11	112282577	chr9	116855939
chr11	112289929	chr9	116659668
chr11	112300661	chr9	106034679
chr11	112323773	chr9	116650106
chr11	112337664	chr9	116800861
chr11	112368135	chr9	116729832
chr11	112403743	chr9	116741922
chr11	112403743	chr9	116741922
chr11	112420588	chr9	115965089
chr11	112445187	chr9	94454723
chr11	112736183	chr9	115102725
chr11	112831538	chr9	115863057
chr11	113175213	chr9	115843024
chr11	113257158	chr9	114976234
chr11	113261068	chr9	115048625
chr11	113272001	chr9	114851761
chr11	113578606	chr9	114808485
chr11	113581219	chr9	114843332
chr11	113588102	chr9	64115348
chr11	113593192	chr9	115031703
chr11	113596791	chr9	114750040
chr11	113596791	chr9	114750040
chr11	113609745	chr9	115152375
chr11	113657186	chr9	106187057
chr11	113683986	chr9	106221157
chr11	113944855	chr9	63492296
chr11	113993603	chr9	65078469
chr11	114006660	chr9	63880336
chr11	114170452	chr9	63382041
chr11	114183914	chr9	64837414
chr11	114194582	chr9	65076877
chr11	114225580	chr9	96425745
chr11	114257978	chr9	64978943
chr11	114299217	chr9	63784043
chr11	114308603	chr9	63752881
chr11	114316270	chr9	65293244
chr11	114574528	chr9	96505812
chr11	114708088	chr9	119500452
chr11	114781494	chr9	120139739
chr11	114795011	chr9	120169123
chr11	114881888	chr9	119511259
chr11	114890384	chr9	120006837
chr11	115013871	chr9	120052893
chr11	119292215	chr9	119681004
chr11	119486746	chr9	120239077
chr11	119490648	chr9	120371427
chr11	119692176	chr9	119680798
chr11	119692471	chr9	120302601
chr11	119872394	chr9	119684178
chr11	119985279	chr9	119707116
chr11	119985638	chr9	120137665
chr11	120365460	chr9	65433985
chr11	120669007	chr9	63712562
chr11	120675357	chr9	63664052
chr11	120684138	chr9	63678690
chr11	120691606	chr9	63827608
chr11	120971107	chr9	62926543
chr11	120972611	chr9	62924396
chr11	121013523	chr9	62919271
chr11	121025504	chr9	62973909
chr11	121025504	chr9	62973909
chr11	121054497	chr9	62971972
chr11	121171918	chr9	62511281
chr11	121244772	chr9	62962196
chr11	121246811	chr9	63184547
chr11	121773064	chr9	63193654
chr11	121799984	chr9	63156552
chr11	121918750	chr9	64065732
chr10	8911451	chr19	8743093
chr10	9194843	chr19	8387122
chr10	9209003	chr19	8344495
chr10	9315925	chr19	26777088
chr10	9317676	chr19	27235130
chr10	9325504	chr19	26363602
chr10	9589407	chr19	9168747
chr10	9601417	chr19	8649414
chr10	10924679	chr19	9119035
chr10	10982955	chr19	11884450
chr10	10982955	chr19	11884450
chr10	11142410	chr19	9162172
chr10	11148262	chr19	9041397
chr10	11200215	chr19	8916795
chr10	11203676	chr19	7393035
chr10	11204114	chr19	9123920
chr10	11244960	chr19	9036003
chr10	11334870	chr19	8874949
chr10	11392015	chr19	9565039
chr10	11550286	chr19	9186588
chr10	11779601	chr19	8719145
chr10	18643292	chr19	8741623
chr10	18670301	chr19	28507388
chr10	19809204	chr19	23851589
chr10	20290634	chr19	23081401
chr10	20303740	chr19	23173481
chr10	20312090	chr19	23099686
chr10	20335015	chr19	23006783
chr10	20392434	chr19	22178920
chr10	20403138	chr19	27243832
chr10	20450876	chr19	27967424
chr10	20457891	chr19	8229257
chr10	20474901	chr19	27931793
chr10	20489203	chr19	27730487
chr10	20497467	chr19	27555396
chr10	20511724	chr19	27910281
chr10	20539739	chr19	27517448
chr10	20543047	chr19	27183698
chr10	20683040	chr19	26386600
chr10	20688709	chr19	26221763
chr10	20688780	chr19	26808541
chr10	20694425	chr19	26150707
chr10	20698682	chr19	26388704
chr10	20699232	chr19	26758304
chr10	20712804	chr19	26787725
chr10	20739514	chr19	26713587
chr10	20746364	chr19	27348810
chr10	20755566	chr19	26717452
chr10	20806295	chr19	27181489
chr10	20819143	chr19	26790283
chr10	20838841	chr19	27183759
chr10	20858423	chr19	27189524
chr10	20944974	chr19	8591067
chr10	21093243	chr19	23162139
chr10	21111916	chr19	29265569
chr10	21169560	chr19	23180954
chr10	21186685	chr19	23143151
chr10	21903607	chr19	47404706
chr10	21916090	chr19	47408638
chr10	22145190	chr19	47544446
chr10	30578078	chr19	24207822
chr10	30598499	chr19	24191957
chr10	30612948	chr19	24224051
chr10	30716400	chr19	24154286
chr10	36837167	chr19	24149567
chr10	36881601	chr19	24217440
chr10	36881695	chr19	24228468
chr10	38177873	chr19	49607177
chr10	38335530	chr19	48098353
chr10	38460418	chr19	49618838
chr10	38561750	chr19	49596691
chr10	38568658	chr19	49606976
chr10	38570452	chr19	49607362
chr10	38584179	chr19	49678658
chr10	38584179	chr19	49678658
chr10	38612573	chr19	40333880
chr10	38612573	chr19	40333880
chr10	38717034	chr19	48099118
chr10	39891600	chr19	47785642
chr10	39980968	chr19	47444615
chr10	40057636	chr19	47428479
chr10	40176940	chr19	40306065
chr10	40179750	chr19	47859451
chr10	40214379	chr19	41596295
chr10	40541479	chr19	46579867
chr10	41763148	chr19	46488623
chr10	41839088	chr19	46138365
chr10	41839159	chr19	46285277
chr10	41839159	chr19	46285277
chr10	42042757	chr19	46396828
chr10	42059371	chr19	46822288
chr10	42121872	chr19	45023568
chr10	42131543	chr19	47052950
chr10	42171210	chr19	47020857
chr10	42171210	chr19	47020857
chr10	42188309	chr19	47696412
chr10	42209833	chr19	47202682
chr10	42227678	chr19	47110380
chr10	42242364	chr19	47270579
chr10	42269207	chr19	47259612
chr10	42606507	chr19	46875547
chr10	42723447	chr19	46870662
chr10	42946212	chr19	44155721
chr10	43201142	chr19	44443547
chr10	43265355	chr19	42223077
chr10	43302027	chr19	43926196
chr10	43387177	chr19	47144958
chr10	43432834	chr19	41542028
chr10	43507107	chr19	42198955
chr10	43511223	chr19	47744264
chr10	43511223	chr19	47744264
chr10	43530946	chr19	41515095
chr10	43536832	chr19	43869017
chr10	43538908	chr19	43867621
chr10	43547470	chr19	47721528
chr10	43582012	chr19	47594266
chr10	43594483	chr19	47436384
chr10	43637634	chr19	24280505
chr10	43639144	chr19	23990441
chr10	43643799	chr19	24300872
chr10	43683668	chr19	47556153
chr10	43684859	chr19	47763291
chr10	43933030	chr19	47816367
chr10	43946189	chr19	47848817
chr10	44144274	chr19	47542736
chr10	44200584	chr19	47528682
chr10	44414650	chr19	59342469
chr10	45092837	chr19	59469289
chr10	50980070	chr19	59730749
chr10	50984532	chr19	58320752
chr10	51028600	chr19	60277101
chr10	51029002	chr19	60251122
chr10	51191010	chr19	57845210
chr10	51359283	chr19	59954956
chr10	51426510	chr19	60215239
chr10	51963193	chr19	59641411
chr10	51963714	chr19	59619775
chr10	55836003	chr19	48544055
chr10	55860374	chr19	48603449
chr10	55864836	chr19	47964624
chr10	55864836	chr19	47964624
chr10	55867815	chr19	47963520
chr10	55978821	chr19	48305087
chr10	55980587	chr19	47991361
chr10	55980840	chr19	48018340
chr10	56007088	chr19	23626582
chr10	56013470	chr19	48255841
chr10	56044766	chr19	23744178
chr10	56044766	chr19	23744178
chr10	56116183	chr19	47993965
chr10	56395412	chr19	24268432
chr10	56400286	chr19	25712229
chr10	56406559	chr19	25705477
chr10	56503718	chr19	25035196
chr10	56503718	chr19	25035196
chr10	56566544	chr19	25596914
chr10	57098681	chr19	27274949
chr10	57261199	chr19	25586259
chr10	57263575	chr19	25589627
chr10	57316049	chr19	26674432
chr10	57317839	chr19	26838321
chr10	57322830	chr19	26825667
chr10	57334104	chr19	26736797
chr10	57337382	chr19	26230975
chr10	57337382	chr19	26230975
chr10	57487044	chr19	25535457
chr10	57512737	chr19	27421235
chr10	57513539	chr19	25496536
chr10	58269010	chr19	24236609
chr10	58280298	chr19	23968987
chr10	58280298	chr19	23968987
chr10	58284971	chr19	23974407
chr10	58296739	chr19	24013907
chr10	58313727	chr19	24288606
chr10	58331866	chr19	24200379
chr10	58337578	chr19	24276853
chr10	58338311	chr19	24930930
chr10	58351520	chr19	24263929
chr10	58355717	chr19	24970105
chr10	58383653	chr19	23119013
chr10	58387470	chr19	24529396
chr10	58400949	chr19	23657634
chr10	58410687	chr19	24236820
chr10	58412965	chr19	24235769
chr10	58412965	chr19	24235769
chr10	58441504	chr19	24537325
chr10	61438206	chr19	46777509
chr10	61438206	chr19	46777509
chr10	61557023	chr19	46739568
chr10	61690117	chr19	46833418
chr10	61703183	chr19	46678396
chr10	61942242	chr19	46625689
chr10	61967333	chr19	46559556
chr10	61967534	chr19	46457353
chr10	62186476	chr19	46596034
chr10	62218247	chr19	46258069
chr10	62320576	chr19	46743721
chr10	62392585	chr19	46562970
chr10	62392585	chr19	46562971
chr10	62570957	chr19	46647561
chr10	63455366	chr19	59569850
chr10	63836203	chr19	59514130
chr10	64060951	chr19	60246142
chr10	64077898	chr19	59678033
chr10	64090673	chr19	59432617
chr10	64112378	chr19	59600529
chr10	64239295	chr19	59586545
chr10	64264503	chr19	59860125
chr10	64270952	chr19	59565134
chr10	64271159	chr19	59446283
chr10	64274122	chr19	60138801
chr10	64274122	chr19	60138802
chr10	64275342	chr19	59456166
chr10	64431155	chr19	59582062
chr10	64472288	chr19	59865302
chr10	69833962	chr19	56665649
chr10	69834787	chr19	56619376
chr10	69912490	chr19	56633385
chr10	69973269	chr19	56620361
chr10	69977538	chr19	56622503
chr10	70074176	chr19	45102588
chr10	70112021	chr19	45266915
chr10	70155179	chr19	45322814
chr10	70193343	chr19	45055102
chr10	70273772	chr19	45026633
chr10	70782957	chr19	56505496
chr10	70815991	chr19	56504017
chr10	70952530	chr19	59452698
chr10	70954713	chr19	60504444
chr10	71064622	chr19	59545018
chr10	71094867	chr19	59863257
chr10	71097670	chr19	60459290
chr10	71228617	chr19	59500662
chr10	71236252	chr19	59499135
chr10	71247352	chr19	59291723
chr10	71253433	chr19	60578902
chr10	71253821	chr19	60588469
chr10	71359349	chr19	60569979
chr10	71520173	chr19	58755726
chr10	71616177	chr19	58133285
chr10	71621102	chr19	59982154
chr10	71641645	chr19	58907480
chr10	71724243	chr19	58886037
chr10	71729387	chr19	59035445
chr10	71754230	chr19	58926055
chr10	71776208	chr19	59184075
chr10	71815067	chr19	58898012
chr10	71856468	chr19	58912965
chr10	71871038	chr19	58749602
chr10	71871038	chr19	58749602
chr10	71875395	chr19	58879534
chr10	71882482	chr19	58921019
chr10	71882482	chr19	58921019
chr10	72162740	chr19	59871656
chr10	72172686	chr19	60431394
chr10	72172686	chr19	60431394
chr10	72292974	chr19	58238007
chr10	72364009	chr19	58720225
chr10	72364009	chr19	58720225
chr10	73032633	chr19	60475677
chr10	73425596	chr19	59949911
chr10	73591940	chr19	59539573
chr10	76424452	chr19	46927690
chr10	76424452	chr19	46927690
chr10	76439042	chr19	46818543
chr10	76979847	chr19	46999868
chr10	77276403	chr19	45816737
chr10	77279872	chr19	47777639
chr10	77292051	chr19	45545662
chr2	16042486	chr8	15999066
chr2	16152114	chr8	15938024
chr2	30388333	chr8	33684956
chr2	30708899	chr8	33629725
chr2	30798256	chr8	5421460
chr2	30808871	chr8	13131997
chr2	30816180	chr8	13263459
chr2	30879893	chr8	13403982
chr2	30880195	chr8	11688728
chr2	30955339	chr8	13309074
chr2	31203534	chr8	12853631
chr2	31208900	chr8	6809048
chr2	31444482	chr8	13348233
chr2	32740647	chr8	3198942
chr2	32750208	chr8	3206601
chr2	34658180	chr8	14889072
chr2	34713094	chr8	16516723
chr2	34858658	chr8	18754793
chr2	34914656	chr8	16235253
chr2	34966872	chr8	14830177
chr2	35008954	chr8	18855948
chr2	35388360	chr8	18037234
chr2	35965519	chr8	19933879
chr2	36095216	chr8	19340972
chr2	36115997	chr8	19555570
chr2	36141705	chr8	20009623
chr2	36215965	chr8	19642442
chr2	36217933	chr8	19603673
chr2	36221900	chr8	19492204
chr2	36689142	chr8	19230368
chr2	36833369	chr8	19123541
chr2	36996786	chr8	19213430
chr2	37764843	chr8	13986950
chr2	38196550	chr8	14022609
chr2	38295512	chr8	18600416
chr2	38344103	chr8	18650119
chr2	38431276	chr8	15927334
chr2	38662341	chr8	17768407
chr2	38672324	chr8	15927457
chr2	45409749	chr8	33428269
chr2	45410445	chr8	33423234
chr2	45985038	chr8	33042895
chr2	52760108	chr8	33399941
chr2	53133557	chr8	33241007
chr2	53134163	chr8	33243462
chr2	53181552	chr8	33396243
chr2	55098773	chr8	26903497
chr2	55146094	chr8	26773327
chr2	55369860	chr8	26780073
chr2	55928485	chr8	26856107
chr2	55931565	chr8	26860886
chr2	56073246	chr8	26778508
chr2	56325244	chr8	26842428
chr2	56357599	chr8	26400384
chr2	56507358	chr8	26856496
chr2	56636892	chr8	27060785
chr2	56661580	chr8	26448413
chr2	56669146	chr8	26512362
chr2	56828928	chr8	26460082
chr2	56838432	chr8	26783103
chr2	56866771	chr8	26319331
chr2	56866771	chr8	26319331
chr2	57204393	chr8	26291676
chr2	57210372	chr8	26312774
chr2	57238468	chr8	26485633
chr2	57329610	chr8	41810537
chr2	57471683	chr8	42183656
chr2	57491539	chr8	41533165
chr2	57492912	chr8	41552368
chr2	57538480	chr8	27726594
chr2	57602036	chr8	27125882
chr2	57602988	chr8	42191862
chr2	57612367	chr8	41830800
chr2	57844103	chr8	79245461
chr2	57864825	chr8	26608183
chr2	57895981	chr8	26510964
chr2	57967250	chr8	26495423
chr2	58085910	chr8	63698286
chr2	58098053	chr8	64080186
chr2	58129915	chr8	64464896
chr2	58131850	chr8	64415811
chr2	58175156	chr8	64177262
chr2	58192977	chr8	62999215
chr2	58192977	chr8	62999215
chr2	58197232	chr8	62774694
chr2	58248926	chr8	26509253
chr2	58351270	chr8	80046443
chr2	58391810	chr8	80013551
chr2	58540554	chr8	27056756
chr2	58635157	chr8	63158431
chr2	58665475	chr8	63154228
chr2	58665475	chr8	63154228
chr2	58673006	chr8	27157210
chr2	58684736	chr8	63781493
chr2	58692902	chr8	77863079
chr2	58692902	chr8	77863079
chr2	58851190	chr8	26731024
chr2	58953093	chr8	26573506
chr2	59029739	chr8	26607544
chr2	59036971	chr8	26628069
chr2	59162319	chr8	26575547
chr2	59318060	chr8	26597141
chr2	59351970	chr8	26811879
chr2	59367498	chr8	27023330
chr2	59372439	chr8	26628734
chr2	59382161	chr8	27072516
chr2	59395192	chr8	25542449
chr2	59415940	chr8	27023150
chr2	59456938	chr8	26664799
chr2	69722674	chr8	26069201
chr2	69983943	chr8	25858827
chr2	70029709	chr8	26094601
chr2	70029709	chr8	26094601
chr2	70520963	chr8	25743475
chr2	70550517	chr8	25852555
chr2	70742163	chr8	25910628
chr2	74406000	chr8	24259730
chr2	74416114	chr8	24414141
chr2	74425617	chr8	24424016
chr2	74684622	chr8	24952908
chr2	74700266	chr8	24935402
chr2	74747380	chr8	25456473
chr2	74827829	chr8	25382840
chr2	74875114	chr8	72403148
chr2	75691836	chr8	72339876
chr2	75722390	chr8	79585626
chr2	75722390	chr8	79585626
chr2	75779549	chr8	72274024
chr2	75837644	chr8	72198342
chr2	75838027	chr8	72479653
chr2	76350358	chr8	79810593
chr2	76393229	chr8	75094035
chr2	76424015	chr8	77194122
chr2	76430996	chr8	75116672
chr2	76525257	chr8	76928610
chr2	76541162	chr8	76175208
chr2	76563152	chr8	75950378
chr2	76563152	chr8	75950378
chr2	76570834	chr8	80415419
chr2	76619841	chr8	80373931
chr2	76633666	chr8	80607998
chr2	76696428	chr8	79732408
chr2	76706917	chr8	79963890
chr2	76799066	chr8	80254645
chr2	76799271	chr8	79971261
chr2	76803757	chr8	79602485
chr2	76921761	chr8	76439296
chr2	76930324	chr8	76885208
chr2	77005111	chr8	80264064
chr2	77011068	chr8	76872577
chr2	77123382	chr8	76435040
chr2	77130824	chr8	76410384
chr2	77179039	chr8	76434660
chr2	77393562	chr8	76545227
chr2	77397521	chr8	76549316
chr2	78154211	chr8	80291396
chr2	78177713	chr8	80284049
chr2	78184752	chr8	80086051
chr2	78225227	chr8	76517424
chr2	78241562	chr8	76517686
chr2	78271682	chr8	79979417
chr2	78502769	chr8	80029389
chr2	78528712	chr8	76599397
chr2	78536547	chr8	76495182
chr2	78536547	chr8	76495182
chr2	78537919	chr8	76522663
chr2	78540562	chr8	76458044
chr2	78540563	chr8	76458044
chr2	79038635	chr8	76638475
chr2	79065461	chr8	76686192
chr2	79113627	chr8	76683374
chr2	91714168	chr8	71772154
chr2	131171971	chr8	70709868
chr2	131213019	chr8	70566164
chr2	131725848	chr8	70628060
chr2	179478517	chr8	121717204
chr2	179488595	chr8	121649606
chr2	179989456	chr8	122597161
chr2	180176146	chr8	121698529
chr2	180202950	chr8	121131637
chr2	180222964	chr8	121681446
chr2	180243173	chr8	121669138
chr2	180292912	chr8	121670625
chr2	180354334	chr8	121545804
chr2	180666629	chr8	121541206
chr2	180674967	chr8	121367697
chr2	180677115	chr8	121569485
chr2	180706145	chr8	122600721
chr2	181512949	chr8	94009676
chr2	181531415	chr8	93993938
chr18	9992778	chr2	25645684
chr18	9992778	chr2	25645683
chr18	10042566	chr2	20582668
chr18	11042926	chr2	25365056
chr18	34010054	chr2	166027651
chr18	34014120	chr2	166222973
chr18	35661578	chr2	166124416
chr18	35697698	chr2	166455556
chr18	35844214	chr2	166447170
chr18	35915103	chr2	166109030
chr18	36157483	chr2	166427880
chr18	36250957	chr2	166691801
chr18	40207188	chr2	165050606
chr18	41900092	chr2	165298520
chr18	42263682	chr2	166748395
chr18	42287330	chr2	165842116
chr18	42365146	chr2	165041295
chr18	42387537	chr2	165346419
chr18	42456937	chr2	165821233
chr18	42464526	chr2	165064052
chr18	42503451	chr2	166196461
chr18	42513007	chr2	165048597
chr18	42522047	chr2	165097669
chr18	42551574	chr2	165290505
chr18	57034916	chr2	165168768
chr18	57481051	chr2	165244345
chr18	75669357	chr2	164937271
chr18	75684061	chr2	164882411
chr18	75684061	chr2	164882411
chr18	75688493	chr2	164876942
chr18	75832058	chr2	165510313
chr18	75840782	chr2	166036544
chr18	75969346	chr2	166094965
chr18	76029715	chr2	164943441
chr18	76058905	chr2	164857442
chr18	76463178	chr2	165586563
chr18	76588841	chr2	165329428
chr18	76691756	chr2	165700062
chr18	76944522	chr2	165739085
chr18	76961657	chr2	165643609
chr18	76988616	chr2	165747986
chr18	77014349	chr2	165206351
chr18	77133463	chr2	165129760
chr18	77205552	chr2	165125185
chrX	3072817	chrX	33637452
chrX	3237337	chrX	3239152
chrX	3345302	chrX	33539427
chrX	3396461	chrX	3410262
chrX	3439523	chrX	3953064
chrX	3469485	chrX	33780181
chrX	3522219	chrX	33629906
chrX	3522219	chrX	33629906
chrX	3662132	chrX	33108285
chrX	3832758	chrX	4117272
chrX	3972026	chrX	31201000
chrX	3995468	chrX	33436883
chrX	4008005	chrX	32945900
chrX	4037842	chrX	31121412
chrX	4058238	chrX	4399868
chrX	4112817	chrX	32549019
chrX	4131370	chrX	4360329
chrX	4132036	chrX	31228881
chrX	4168534	chrX	4315936
chrX	4202439	chrX	32981049
chrX	4274323	chrX	4386140
chrX	4366788	chrX	31332278
chrX	4485001	chrX	31194672
chrX	4491089	chrX	4506936
chrX	4501181	chrX	30904736
chrX	4534214	chrX	32591066
chrX	4573058	chrX	32111628
chrX	4606014	chrX	31362049
chrX	4623963	chrX	4626541
chrX	4682341	chrX	32640662
chrX	4756266	chrX	32685261
chrX	4803792	chrX	4897064
chrX	4945910	chrX	32554004
chrX	5321210	chrX	5340206
chrX	5387015	chrX	5405762
chrX	5412567	chrX	5466570
chrX	5452750	chrX	5473986
chrX	5455914	chrX	5456105
chrX	5546107	chrX	5892704
chrX	5559654	chrX	6842985
chrX	5663008	chrX	37045021
chrX	5726730	chrX	5801405
chrX	5737748	chrX	5775238
chrX	5762569	chrX	5793674
chrX	5819859	chrX	5825075
chrX	5873230	chrX	6156196
chrX	5934764	chrX	37000537
chrX	5985774	chrX	6005811
chrX	6045709	chrX	6174739
chrX	6051361	chrX	37228122
chrX	6099982	chrX	37077717
chrX	6136756	chrX	6156559
chrX	6136756	chrX	6156559
chrX	6157805	chrX	6368339
chrX	6157805	chrX	6368339
chrX	6196622	chrX	6255134
chrX	6231763	chrX	6238501
chrX	6257014	chrX	6271682
chrX	6259507	chrX	6465930
chrX	6286755	chrX	6295063
chrX	6300003	chrX	6309801
chrX	6309929	chrX	6311162
chrX	6314577	chrX	36838249
chrX	6322916	chrX	6367934
chrX	6331796	chrX	36882723
chrX	6452783	chrX	6594312
chrX	6516993	chrX	6534675
chrX	6527159	chrX	6540476
chrX	6527440	chrX	6556884
chrX	6547103	chrX	6633577
chrX	6603809	chrX	6628933
chrX	6610651	chrX	6613260
chrX	6645284	chrX	7282143
chrX	6676964	chrX	7269505
chrX	6695611	chrX	6914269
chrX	6703777	chrX	6721329
chrX	6741022	chrX	7019091
chrX	6771724	chrX	6877864
chrX	6772852	chrX	6875246
chrX	6777542	chrX	6839547
chrX	6834043	chrX	6875992
chrX	6845292	chrX	7177452
chrX	6869732	chrX	7141423
chrX	6898128	chrX	7339318
chrX	6898278	chrX	6906323
chrX	6898444	chrX	7292564
chrX	6927878	chrX	7111392
chrX	6934809	chrX	7109732
chrX	6966018	chrX	7701946
chrX	6994576	chrX	7031883
chrX	6996115	chrX	7036024
chrX	7030403	chrX	7040934
chrX	7064371	chrX	7085400
chrX	7111326	chrX	7121638
chrX	7112491	chrX	7122209
chrX	7154295	chrX	7264235
chrX	7163057	chrX	7201061
chrX	7172519	chrX	7500042
chrX	7180768	chrX	18415945
chrX	7184869	chrX	7293186
chrX	7186085	chrX	7187106
chrX	7237307	chrX	7256073
chrX	7275266	chrX	7357353
chrX	7279303	chrX	19891983
chrX	7293940	chrX	7300937
chrX	7294626	chrX	7683130
chrX	7304582	chrX	7480389
chrX	7305644	chrX	7658768
chrX	7314695	chrX	18345790
chrX	7318284	chrX	7364021
chrX	7328764	chrX	7339123
chrX	7368996	chrX	7628141
chrX	7375050	chrX	7610374
chrX	7377175	chrX	37091947
chrX	7418586	chrX	7621746
chrX	7506741	chrX	7508502
chrX	7508597	chrX	14269925
chrX	7582764	chrX	7708851
chrX	7605617	chrX	11802500
chrX	7609137	chrX	18349912
chrX	7629766	chrX	7643704
chrX	7653276	chrX	7713685
chrX	7668865	chrX	9093303
chrX	7674742	chrX	17540412
chrX	7697927	chrX	18252362
chrX	7698450	chrX	18403001
chrX	7707632	chrX	7762287
chrX	7726972	chrX	18163632
chrX	7737223	chrX	7796049
chrX	7740829	chrX	17226571
chrX	7792330	chrX	8087713
chrX	7824123	chrX	7938081
chrX	7839367	chrX	7839579
chrX	7845313	chrX	7868386
chrX	7855570	chrX	7867386
chrX	7927843	chrX	13075222
chrX	7928511	chrX	7939560
chrX	7937355	chrX	8019504
chrX	7948131	chrX	7951737
chrX	7949876	chrX	7954682
chrX	7961660	chrX	8080088
chrX	7968180	chrX	11753154
chrX	8019988	chrX	8105805
chrX	8031551	chrX	8100963
chrX	8033822	chrX	8036152
chrX	8044343	chrX	8047764
chrX	8044343	chrX	8047764
chrX	8051691	chrX	11924840
chrX	8053490	chrX	8056499
chrX	8056430	chrX	8060403
chrX	8090312	chrX	8092021
chrX	8147562	chrX	9145653
chrX	8152742	chrX	10708081
chrX	8177908	chrX	8369142
chrX	8260957	chrX	8267432
chrX	8291442	chrX	8317990
chrX	8302672	chrX	8356790
chrX	8327320	chrX	8397674
chrX	8327320	chrX	8397674
chrX	8331423	chrX	8658569
chrX	8331423	chrX	8658569
chrX	8346134	chrX	8422273
chrX	8366966	chrX	8376407
chrX	8453330	chrX	8545796
chrX	8508221	chrX	8511169
chrX	8618441	chrX	8621311
chrX	8618441	chrX	8621311
chrX	8618602	chrX	8693643
chrX	8740918	chrX	8752194
chrX	8772423	chrX	8803237
chrX	8841373	chrX	10211790
chrX	8841739	chrX	9554000
chrX	8844494	chrX	8915820
chrX	8858945	chrX	8900624
chrX	8882891	chrX	8923077
chrX	8904938	chrX	8914253
chrX	8923006	chrX	8944630
chrX	8923006	chrX	8944630
chrX	8931501	chrX	8935462
chrX	9103153	chrX	11436333
chrX	9128831	chrX	9213995
chrX	9138223	chrX	11000643
chrX	9224277	chrX	10228900
chrX	9242125	chrX	11383827
chrX	9274419	chrX	10251078
chrX	9318718	chrX	9532044
chrX	9329711	chrX	9702980
chrX	9335960	chrX	9558887
chrX	9337610	chrX	10231921
chrX	9426247	chrX	9461782
chrX	9435487	chrX	9458600
chrX	9436486	chrX	9801494
chrX	9472474	chrX	9473378
chrX	9473169	chrX	16638026
chrX	9473303	chrX	16631682
